ID,Placement
3,1
6,1
7,1
9,0
11,1
12,1
15,1
18,1
22,1
28,1
29,0
34,1
35,1
36,1
37,1
43,1
47,1
52,1
56,1
57,1
59,1
68,1
69,1
70,1
73,0
74,0
75,1
77,1
83,1
88,1
91,1
92,1
97,1
99,1
102,1
104,1
106,1
108,1
109,1
111,1
119,1
120,1
123,1
127,1
129,0
132,1
133,1
137,1
139,1
141,1
143,1
144,1
148,1
152,1
153,1
154,1
159,1
160,1
162,1
168,1
171,1
172,1
173,1
174,0
176,1
177,1
178,1
179,0
181,1
182,1
183,1
186,1
187,1
189,1
194,1
195,1
198,1
203,1
206,1
208,1
209,1
210,1
215,1
216,1
218,1
219,1
223,1
226,1
228,1
230,1
232,1
235,1
236,1
237,1
241,1
246,1
249,1
254,1
255,1
256,1
258,1
259,1
265,1
266,1
267,1
270,1
271,1
272,1
274,1
276,1
279,1
280,1
282,1
291,1
296,1
299,1
300,1
301,1
305,1
307,1
310,1
313,1
314,1
315,1
316,1
319,1
322,1
327,1
328,1
329,1
330,1
334,1
335,1
338,1
341,1
345,1
348,1
352,1
354,1
355,1
357,1
358,1
362,1
363,1
365,1
366,1
367,1
371,0
372,1
380,1
381,1
382,1
385,1
387,1
389,1
390,1
