"ID","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
1,6.4,2.7,5.3,1.9,"virginica"
2,5.1,3.4,1.5,0.2,"setosa"
3,5.4,3,4.5,1.5,"versicolor"
4,6.1,2.6,5.6,1.4,"virginica"
5,6.3,2.9,5.6,1.8,"virginica"
6,7.7,2.8,6.7,2,"virginica"
7,6.4,2.8,5.6,2.2,"virginica"
8,4.4,3.2,1.3,0.2,"setosa"
9,5.8,2.6,4,1.2,"versicolor"
10,5.1,3.8,1.5,0.3,"setosa"
11,6,2.2,5,1.5,"virginica"
12,6.9,3.1,5.1,2.3,"virginica"
13,5.8,2.7,5.1,1.9,"virginica"
14,5,3.5,1.6,0.6,"setosa"
15,5.5,2.6,4.4,1.2,"versicolor"
16,6,2.2,4,1,"versicolor"
17,6.3,2.3,4.4,1.3,"versicolor"
18,6.5,3,5.8,2.2,"virginica"
19,6.9,3.1,5.4,2.1,"virginica"
20,5.6,2.5,3.9,1.1,"versicolor"
21,5.4,3.4,1.7,0.2,"setosa"
22,4.9,3.1,1.5,0.2,"setosa"
23,5.1,3.5,1.4,0.3,"setosa"
24,4.8,3.1,1.6,0.2,"setosa"
25,6.1,3,4.6,1.4,"versicolor"
26,6,2.9,4.5,1.5,"versicolor"
27,6.3,3.3,4.7,1.6,"versicolor"
28,6.7,3.3,5.7,2.1,"virginica"
29,5.6,2.9,3.6,1.3,"versicolor"
30,6.2,3.4,5.4,2.3,"virginica"
31,6,3,4.8,1.8,"virginica"
32,6.6,3,4.4,1.4,"versicolor"
33,7.2,3.2,6,1.8,"virginica"
34,7.2,3,5.8,1.6,"virginica"
35,4.8,3,1.4,0.3,"setosa"
36,6.5,3.2,5.1,2,"virginica"
37,6.3,3.4,5.6,2.4,"virginica"
38,4.4,2.9,1.4,0.2,"setosa"
39,5.2,2.7,3.9,1.4,"versicolor"
40,7.6,3,6.6,2.1,"virginica"
41,5.6,2.7,4.2,1.3,"versicolor"
42,5.9,3,5.1,1.8,"virginica"
43,6.1,2.8,4,1.3,"versicolor"
44,5.5,2.3,4,1.3,"versicolor"
45,6.2,2.9,4.3,1.3,"versicolor"
46,4.9,3.1,1.5,0.1,"setosa"
47,6.4,3.2,4.5,1.5,"versicolor"
48,5.5,2.4,3.8,1.1,"versicolor"
49,5.6,3,4.1,1.3,"versicolor"
50,7.7,3.8,6.7,2.2,"virginica"
51,5.5,2.4,3.7,1,"versicolor"
52,5.7,4.4,1.5,0.4,"setosa"
53,7.3,2.9,6.3,1.8,"virginica"
54,6.1,2.8,4.7,1.2,"versicolor"
55,6.1,2.9,4.7,1.4,"versicolor"
56,6.7,3.1,4.7,1.5,"versicolor"
57,5.5,3.5,1.3,0.2,"setosa"
58,6.4,3.1,5.5,1.8,"virginica"
59,5.8,2.7,5.1,1.9,"virginica"
60,6.1,3,4.9,1.8,"virginica"
61,4.9,2.5,4.5,1.7,"virginica"
62,4.3,3,1.1,0.1,"setosa"
63,6.4,3.2,5.3,2.3,"virginica"
64,5,3.2,1.2,0.2,"setosa"
65,5.8,2.8,5.1,2.4,"virginica"
66,4.6,3.2,1.4,0.2,"setosa"
67,4.4,3,1.3,0.2,"setosa"
68,5.1,2.5,3,1.1,"versicolor"
69,6,2.7,5.1,1.6,"versicolor"
70,5.7,3.8,1.7,0.3,"setosa"
71,5,3,1.6,0.2,"setosa"
72,6.2,2.2,4.5,1.5,"versicolor"
73,6.4,2.8,5.6,2.1,"virginica"
74,5.5,4.2,1.4,0.2,"setosa"
75,7.2,3.6,6.1,2.5,"virginica"
76,6.3,2.5,5,1.9,"virginica"
77,5.1,3.5,1.4,0.2,"setosa"
78,4.6,3.6,1,0.2,"setosa"
79,4.6,3.4,1.4,0.3,"setosa"
80,6.6,2.9,4.6,1.3,"versicolor"
81,5.2,4.1,1.5,0.1,"setosa"
82,5,2.3,3.3,1,"versicolor"
83,5,3.4,1.6,0.4,"setosa"
84,6.2,2.8,4.8,1.8,"virginica"
85,5,3.4,1.5,0.2,"setosa"
86,4.7,3.2,1.3,0.2,"setosa"
87,4.9,3,1.4,0.2,"setosa"
88,5,3.6,1.4,0.2,"setosa"
89,6.3,2.5,4.9,1.5,"versicolor"
90,5.1,3.8,1.6,0.2,"setosa"
91,5.1,3.8,1.9,0.4,"setosa"
92,5.4,3.9,1.7,0.4,"setosa"
93,5.7,2.8,4.5,1.3,"versicolor"
94,6.8,3,5.5,2.1,"virginica"
95,5.2,3.5,1.5,0.2,"setosa"
96,5.4,3.4,1.5,0.4,"setosa"
97,7,3.2,4.7,1.4,"versicolor"
98,5.7,2.5,5,2,"virginica"
99,4.9,2.4,3.3,1,"versicolor"
100,6.7,3.1,5.6,2.4,"virginica"
101,6.7,3,5.2,2.3,"virginica"
102,6.9,3.2,5.7,2.3,"virginica"
103,5.6,3,4.5,1.5,"versicolor"
104,6.4,2.9,4.3,1.3,"versicolor"
105,6.3,2.7,4.9,1.8,"virginica"
