ID,Footfall
3725712,1130
3725812,1082
3725912,1080
3726012,1040
3726112,1053
3726212,1004
3726312,1019
3726412,1008
3726512,956
3726612,1117
3726712,1107
3726812,1038
3726912,1032
3727012,960
3727112,937
3727212,931
3727312,1090
3727412,1063
3727512,1078
3727612,1092
3727712,1042
3727812,1116
3727912,984
3728012,1116
3728112,1178
3728212,1126
3728312,927
3728412,957
3728512,958
3728612,805
3728712,966
3728812,827
3728912,940
3729012,873
3729112,816
3729212,879
3729312,805
3729412,742
3729512,807
3729612,779
3729712,826
3729812,1014
3729912,1098
3730012,1025
3730112,1042
3730212,1012
3730312,1073
3730412,1139
3730512,916
3730612,1113
3730712,1038
3730812,1045
3730912,1010
3731012,943
3731112,849
3731212,935
3731312,1002
3731412,1011
3731512,1017
3731612,1146
3731712,1177
3731812,1107
3731912,1117
3732012,1183
3732112,1338
3732212,1262
3732312,968
3732412,897
3732512,866
3732612,954
3732712,967
3732812,953
3732912,889
3733012,1140
3733112,1162
3733212,1119
3733312,1151
3733412,993
3733512,860
3733612,968
3733712,822
3733812,1031
3733912,924
3734012,855
3734112,1131
3734212,984
3734312,902
3734412,1134
3734512,1048
3734612,1211
3734712,1380
3734812,1401
3734912,1380
3735012,1324
3735112,1334
3735212,1378
3735312,1407
3735412,1424
3735512,1359
3735612,1419
3735712,1322
3735812,1281
3735912,1413
3736012,1413
3736112,1340
3736212,1410
3736312,1399
3736412,1420
3736512,1368
3736612,1362
3736712,1372
3736812,1395
3736912,1378
3737012,1379
3737112,1414
3737212,1384
3737312,1422
3737412,1365
3737512,1337
3737612,1392
3737712,1373
3737812,1362
3737912,1411
3738012,1396
3738112,1388
3738212,1340
3738312,1297
3738412,1422
3738512,1418
3738612,1368
3738712,1289
3738812,1272
3738912,1377
3739012,1387
3739112,1384
3739212,1265
3739312,1300
3739412,1411
3739512,1399
3739612,1407
3739712,1370
3739812,1351
3739912,1271
3740012,1278
3740112,1360
3740212,1334
3740312,1378
3740412,1409
3740512,1395
3740612,1404
3740712,1386
3740812,1332
3740912,1317
3741012,1361
3741112,1380
3741212,1365
3741312,1393
3741412,1398
3741512,1388
3741612,1383
3741712,1425
3741812,1374
3741912,1403
3742012,1386
3742112,1299
3742212,1357
3742312,1391
3742412,1370
3742512,1408
3742612,1400
3742712,1379
3742812,1371
3742912,1369
3743012,1337
3743112,1366
3743212,1377
3743312,1349
3743412,1339
3743512,1385
3743612,1399
3743712,1402
3743812,1379
3743912,1344
3744012,1415
3744112,1418
3744212,1400
3744312,1426
3744412,1420
3744512,1378
3744612,1374
3744712,1407
3744812,1387
3744912,1381
3745012,1429
3745112,1332
3745212,1352
3745312,1393
3745412,1370
3745512,1374
3745612,1371
3745712,1329
3745812,1277
3745912,1234
3746012,1323
3746112,1430
3746212,1386
3746312,1378
3746412,1405
3746512,1387
3746612,1374
3746712,1405
3746812,1417
3746912,1438
3747012,1398
3747112,1487
3747212,1424
3747312,1425
3747412,1391
3747512,1371
3747612,1258
3747712,1314
3747812,1255
3747912,1298
3748012,1451
3748112,1334
3748212,1369
3748312,1415
3748412,1391
3748512,1392
3748612,1434
3748712,1458
3748812,1389
3748912,1377
3749012,1391
3749112,1415
3749212,1432
3749312,1405
3749412,1307
3749512,1386
